license_id,location_key
2019786-2-DCA,1769 BATH AVE BROOKLYN NY 11214 (Brooklyn)
2038997-DCA,216 PARKSIDE AVE BROOKLYN NY 11226 (Brooklyn)
2119119-DCWP,127 W 83RD ST APT 162 NEW YORK NY 10024 (Manhattan)
2032033-DCA,183 WEST  231 STREET BRONX NY 10463 (Bronx)
2112600-DCA,441 W 49TH ST NEW YORK NY 10019 (Manhattan)
2112053-DCA,102 LINDEN ST BROOKLYN NY 11221 (Brooklyn)
2124538-DCWP,875 3RD AVE NEW YORK NY 10022 (Manhattan)
2111900-DCA,512 W 151ST ST APT 2A NEW YORK NY 10031 (Manhattan)
1299624-DCA,332 EAST  204 STREET BRONX NY 10467 (Bronx)
2109772-DCA,2071 BARTOW AVE BRONX NY 10475 (Bronx)
2129113-DCWP,36 CENTRAL PARK S NEW YORK NY 10019 (Manhattan)
1339668-DCA,1573 E 58TH ST BROOKLYN NY 11234 (Brooklyn)
2116265-DCWP,13620 MAPLE AVE FLUSHING NY 11355 (Queens)
1054948-DCA,140 MULBERRY STREET NEW YORK NY 10013 (Manhattan)
2034065-DCA,193 WEST  237 STREET BRONX NY 10463 (Bronx)
2019002-DCA,2270 STILLWELL AVE BROOKLYN NY 11223 (Brooklyn)
1436733-DCA,6724 14TH AVE BROOKLYN NY 11219 (Brooklyn)
2123126-DCWP,101 E 167TH ST BRONX NY 10452 (Bronx)
1380502-DCA,12301 MERRICK BLVD JAMAICA NY 11434 (Queens)
2126461-DCWP,6908 NEW UTRECHT AVE BROOKLYN NY 11228 (Brooklyn)
2097405-2-DCA,158 CHURCH ST NEW YORK NY 10007 (Manhattan)
2120196-DCWP,2376 60TH ST BROOKLYN NY 11204 (Brooklyn)
1412814-DCA,5102 31ST AVE WOODSIDE NY 11377 (Queens)
2127695-DCWP,5812 QUEENS BLVD APT 2 WOODSIDE NY 11377 (Queens)
1423554-DCA,11149 LEFFERTS BOULEVARD S OZONE PARK NY 11420 (Queens)
2061830-DCA,8009 35TH AVE APT A11 JACKSON HEIGHTS NY 11372 (Queens)
2105514-DCA,200 WEST   60 STREET NEW YORK NY 10023 (Manhattan)
2052529-DCA,12119 149 AVENUE APT 2 S OZONE PARK NY 11420 (Queens)
2089837-DCA,36 EAST   29 STREET NEW YORK NY 10016 (Manhattan)
2126072-DCWP,75 PARK PL NEW YORK NY 10007 (Manhattan)
2122208-DCWP,2240 78TH ST APT 2 EAST ELMHURST NY 11370 (Queens)
2130464-DCWP,2775 E 12TH ST APT 606 BROOKLYN NY 11235 (Brooklyn)
2109768-DCA,4236 WHITE PLAINS RD BRONX NY 10466 (Bronx)
2098268-DCA,9 EAST BROADWAY NEW YORK NY 10038 (Manhattan)
1424408-DCA,7730 164TH ST FRESH MEADOWS NY 11366 (Queens)
2118137-1-DCWP,561 GRAND ST BROOKLYN NY 11211 (Brooklyn)
2032775-DCA,1250 AVENUE U BROOKLYN NY 11229 (Brooklyn)
2097871-DCA,9321 CHURCH AVE BROOKLYN NY 11212 (Brooklyn)
2024048-DCA,135 OCEANA DR APT 2C BROOKLYN NY 11235 (Brooklyn)
1217597-DCA,1911 BATH AVE BROOKLYN NY 11214 (Brooklyn)
1463444-DCA,215 148TH ST FLUSHING NY 11357 (Queens)
2092699-DCA,1829 42ND ST ASTORIA NY 11105 (Queens)
