entity_id,registration_id,full_address,zip_code,Latitude,Longitude
BA-1428596-2022,0674344-DCA,730 AVENUE Z BROOKLYN NY 11223 (Brooklyn),11223,40.58653,-73.967349
BA-1333252-2022,0674635-DCA,5401 3RD AVE BROOKLYN NY 11220 (Brooklyn),11220,40.64537,-74.016926
BA-1322753-2022,0674670-DCA,9623 LINDEN BLVD OZONE PARK NY 11417 (Queens),11417,40.67398,-73.839727
BA-1457725-2022,0674702-DCA,9502 FLATLANDS AVE BROOKLYN NY 11236 (Brooklyn),11236,40.64266,-73.902194
BA-1451977-2022,0674782-DCA,905 ATLANTIC AVE BROOKLYN NY 11238 (Brooklyn),11238,40.68077,-73.962749
BA-1404846-2022,0675264-DCA,1381 EAST    9 STREET BROOKLYN NY 11230 (Brooklyn),11230,40.61539,-73.965346
BA-1114611-2022,0675329-DCA,747 3RD AVE APT 401 NEW YORK NY 10017 (Manhattan),10017,40.7536,-73.972374
BA-1110064-2022,0675662-DCA,618 WEST   52 STREET NEW YORK NY 10019 (Manhattan),10019,40.76736,-73.994289
BA-1304343-2022,0677345-DCA,1050 2 AVENUE NEW YORK NY 10022 (Manhattan),10022,40.75823,-73.966066
BA-1331576-2022,0678812-DCA,649 5TH AVE BROOKLYN NY 11215 (Brooklyn),11215,40.66269,-73.992005
BA-1324831-2022,0690564-DCA,169 RICHARDSON STREET APT 2 BROOKLYN NY 11222 (Brooklyn),11222,40.71886,-73.94429
BA-1540141-2022,0690600-DCA,5369 69 STREET APT A MASPETH NY 11378 (Queens),11378,40.72964,-73.895626
BA-1511306-2022,0690977-DCA,351 ATLANTIC AVE BROOKLYN NY 11217 (Brooklyn),11217,40.68761,-73.986554
BA-1521415-2022,0692148-DCA,608 5TH AVE APT 807 NEW YORK NY 10020 (Manhattan),10020,40.75782,-73.977732
BA-1552649-2022,0692569-DCA,99 DREISER LOOP BRONX NY 10475 (Bronx),10475,40.87775,-73.828076
BA-1557185-2022,0692570-DCA,99 CARVER LOOP BRONX NY 10475 (Bronx),10475,40.87793,-73.825537
BA-1519409-2022,0692571-DCA,99 ASCH LOOP BRONX NY 10475 (Bronx),10475,40.86927,-73.830532
BA-1486893-2022,0692572-DCA,99 BELLAMY LOOP BRONX NY 10475 (Bronx),10475,40.87243,-73.825078
BA-1481506-2022,0692573-DCA,999 CO OP CITY BOULEVARD BRONX NY 10475 (Bronx),10475,40.87968,-73.831832
BA-1750503-2025,0692755-DCA,450 7TH AVE APT 1100 NEW YORK NY 10123 (Manhattan),10123,40.75136,-73.990367
BA-1270782-2022,0693050-DCA,1590 RICHMOND TER STATEN ISLAND NY 10310 (Staten Island),10310,40.64049,-74.12051
BA-1519918-2022,0693133-DCA,20 WEST   64 STREET NEW YORK NY 10023 (Manhattan),10023,40.77143,-73.980335
BA-1517345-2022,0693530-DCA,584 ACADEMY STREET NEW YORK NY 10034 (Manhattan),10034,40.86391,-73.92346
BA-1294999-2022,0695641-DCA,169 3RD ST STATEN ISLAND NY 10306 (Staten Island),10306,40.57366,-74.119627
BA-1529561-2022,0695803-DCA,99 EINSTEIN LOOP NORTH BRONX NY 10475 (Bronx),10475,40.86533,-73.822606
BA-1508263-2022,0695804-DCA,2099 BARTOW AVENUE BRONX NY 10475 (Bronx),10475,40.86953,-73.826449
BA-1424187-2022,0696685-DCA,5725 FOSTER AVENUE BROOKLYN NY 11234 (Brooklyn),11234,40.63881,-73.921693
BA-1507785-2022,0697548-DCA,576 5 AVENUE APT 1103 NEW YORK NY 10036 (Manhattan),10036,40.75651,-73.978686
BA-1425095-2022,0698838-DCA,171 MEISNER AVE STATEN ISLAND NY 10306 (Staten Island),10306,40.57923,-74.132639
BA-1098244-2022,0698893-DCA,15011 94TH AVE JAMAICA NY 11433 (Queens),11433,40.70035,-73.803343
BA-1238948-2022,0699037-DCA,125 PETRUS AVE STATEN ISLAND NY 10312 (Staten Island),10312,40.54655,-74.170615
BA-1175111-2022,0699206-DCA,16401 CROSSBAY BLVD HOWARD BEACH NY 11414 (Queens),11414,40.65056,-73.837733
BA-1307614-2022,0699327-DCA,5610 NURGE AVE MASPETH NY 11378 (Queens),11378,40.71583,-73.910398
BA-1106850-2022,0699352-DCA,254 EAST   68 STREET NEW YORK NY 10065 (Manhattan),10065,40.76654,-73.960957
BA-1115091-2022,0699505-DCA,344 WEST   45 STREET NEW YORK NY 10036 (Manhattan),10036,40.75971,-73.989716
BA-1367772-2022,0730522-DCA,4510 18TH AVE BROOKLYN NY 11204 (Brooklyn),11204,40.63019,-73.978355
BA-1412118-2022,0730953-DCA,511 W 236TH ST BRONX NY 10463 (Bronx),10463,40.88653,-73.907289
BA-1123387-2022,0730956-DCA,4578 162 STREET FLUSHING NY 11358 (Queens),11358,40.75454,-73.804792
